"","s.Control","s.Control Depression","s.PMS","s.PMS Depression","s.RRMS","s.RRMS Depression","index","stat","p.value"
"349847b83a69b38bb3ebdb79a02df4b1",0,1,0,0,0,0,2,0.159689475338403,0.087
"48b17c072fca93c9208b354d529e7732",0,1,0,1,0,1,36,0.165806394866027,0.381
"2e2468c4df716f9a74f78f48734a6ab4",0,0,1,0,0,1,18,0.102047868991792,0.593
"aca1d2da22fe1972b1304ce4fbae4a99",0,0,0,1,0,0,4,0.216811802755079,0.04
"faa6bbe1a1ff5543176c7d02347cb47b",1,0,1,0,1,1,50,0.184520782823564,0.629
"03755591ed28ef15c029615005efaa15",0,0,0,0,1,0,5,0.0606024168789973,0.863
"2b8657c745fc9326c16bf870e7644473",1,1,1,0,0,0,22,0.134595631723481,0.683
"d15bafee99dce3950c02db18e88c5cb2",1,0,0,0,0,0,1,0.0506369683541833,1
"75d94cbbf59cf0aeaac1ef1b35b2a71b",1,0,0,0,0,0,1,0.0506369683541833,1
"2b2533b640e7c3c6087b055a9b0a4211",0,0,1,0,0,1,18,0.122264792577228,0.415
"8b78ffe3620a269d57af7a838c8f1461",0,0,0,0,1,0,5,0.0616626415978207,0.547
"78741eea6436062e556c93187a470ce0",0,1,0,0,0,0,2,0.135051990694728,0.489
"9f81945affcdcdff058ccc219d754c6b",1,0,1,0,0,0,8,0.0652328073053442,0.691
"4ad693ffe6b974add266bba66afd4e0b",0,0,1,0,1,1,40,0.199732626026096,0.437
"fc0e6aaef35f11b833f2473d39edd102",0,0,0,0,0,1,6,0.129099444873581,0.142
"4135000f1cb841b386a7e8bf5497a098",1,0,0,0,0,0,1,0.0506369683541833,1
"8a1bd0aabf3116f3e072a12ab757d5e8",0,0,1,0,0,1,18,0.129883982835818,0.337
"abe467e940f0b7bf533a981db2352a1a",1,0,0,0,0,1,11,0.0916481853900857,0.706
"771bb7a471e2661f11a5e31a8ff83b82",0,0,0,1,0,0,4,0.136597367881789,0.287
"d2c80b913030e158736af39ae3e7db9d",0,0,0,0,1,0,5,0.0616626415978207,0.549
"04b7ec552ec9e3da6c2a7dc0ebb22bd5",1,0,0,1,1,1,51,0.176060513978036,0.512
"d84436bddde1db6c6fa3a9161e118d78",1,1,1,0,1,0,43,0.119678388469542,0.906
"9d78b3f08ade681a049e050dd85c1679",1,0,1,0,0,0,8,0.122695115825724,0.759
